league_id,league_name,year,draft_type,num_teams,scoring_type,roster_size,num_starters,num_bench,ppr_points,keepers,num_rostered_qb,num_rostered_rb,num_rostered_rb_wr,num_rostered_wr,num_rostered_te,num_rostered_d_st,num_rostered_k,num_rostered_be,num_rostered_rb_wr_te,num_rostered_ir,num_rostered_wr_te,num_rostered_dt,num_rostered_de,num_rostered_lb,num_rostered_edr,num_rostered_cb,num_rostered_s,num_rostered_dp,num_rostered_p,num_rostered_hc,num_rostered_op,num_rostered_dl,num_rostered_db
625975,Jangelz Wrangelz,2017,draft,10,head_to_head_points,16,9,7,0.2,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625979,Six Degrees of Shreveport,2017,draft,12,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625988,FamFootball,2017,draft,6,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625992,San Francisco 12-Team PPR 625992,2017,draft,12,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625998,No Punt Intended,2017,draft,8,head_to_head_points,16,9,7,0,0,1,2,1,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626002,Kansas City PPR 626002,2017,draft,10,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626004,ArmChair QBs,2017,draft,10,head_to_head_points,17,10,7,0,0,1,2,0,3,1,1,1,7,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
626005,The Thrift Store,2017,draft,10,head_to_head_points,17,10,7,0,0,1,2,0,3,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626007,Hurricane Ditka,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626019,League of Leagues,2017,draft,10,head_to_head_points,18,10,8,0,18,1,2,0,2,1,1,1,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
626026,Geesers League,2017,draft,8,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626035,Strong 2017,2017,draft,14,head_to_head_points,16,9,7,0,0,1,2,1,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626038,League of Ordinary Gentleman,2017,draft,12,head_to_head_points,16,9,7,0.5,2,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626057,Ye Ole Shroom League,2017,draft,12,head_to_head_points,17,10,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
626061,Bad Newz 17,2017,draft,12,head_to_head_points,16,9,7,1,0,1,2,1,2,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626072,Extra xtra Pi Hee Futbaal leegue,2017,draft,12,head_to_head_points,16,10,6,1,0,1,2,0,3,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626080,who wants it more,2017,draft,10,head_to_head_points,26,19,7,5,0,1,2,0,2,1,1,0,7,1,4,1,1,1,3,0,1,1,1,0,0,1,1,0
